Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts
1934,420000000,364000000,30000000
1935,527000000,529000000,31000000
1936,674000000,719000000,52000000
1937,1092000000,1038000000,580000000
1938,1286000000,1287000000,1541000000
1939,1029000000,1127000000,1593000000
1940,892000000,1197000000,1785000000
1941,1314000000,2124000000,1940000000
1942,3263000000,4719000000,2452000000
1943,6505000000,9557000000,3044000000
1944,19705000000,14838000000,3473000000
1945,18372000000,15988000000,3451000000
1946,16098000000,11883000000,3115000000
1947,17935000000,8615000000,3422000000
1948,19315000000,9678000000,3751000000
1949,15552000000,11192000000,3781000000
1950,15755000000,10449000000,4338000000
1951,21616000000,14101000000,5674000000
1952,27934000000,21226000000,6445000000
1953,29816000000,21238000000,6820000000
1954,29542000000,21101000000,7208000000
1955,28747000000,17861000000,7862000000
1956,32188000000,20880000000,9320000000
1957,35620000000,21167000000,9997000000
1958,34724000000,20074000000,11239000000
1959,36719000000,17309000000,11722000000
1960,40715000000,21494000000,14683000000
1961,41338000000,20954000000,16439000000
1962,45571000000,20523000000,17046000000
1963,47588000000,21579000000,19804000000
1964,48697000000,23493000000,21963000000
1965,48792000000,25461000000,22242000000
1966,55446000000,30073000000,25546000000
1967,61526000000,33971000000,32619000000
1968,68726000000,28665000000,33923000000
1969,87249000000,36678000000,39015000000
1970,90412000000,32829000000,44362000000
1971,86230000000,26785000000,47325000000
1972,94737000000,32166000000,52574000000
1973,103246000000,36153000000,63115000000
1974,118952000000,38620000000,75071000000
1975,122386000000,40621000000,84534000000
1976,131603000000,41409000000,90769000000
TQ,38801000000,8460000000,25219000000
1977,157626000000,54892000000,106485000000
1978,180988000000,59952000000,120967000000
1979,217841000000,65677000000,138939000000
1980,244069000000,64600000000,157803000000
1981,285917000000,61137000000,182720000000
1982,297744000000,49207000000,201498000000
1983,288938000000,37022000000,208994000000
1984,298415000000,56893000000,239376000000
1985,334531000000,61331000000,265163000000
1986,348959000000,63143000000,283901000000
1987,392557000000,83926000000,303318000000
1988,401181000000,94508000000,334335000000
1989,445690000000,103291000000,359416000000
1990,466884000000,93507000000,380047000000
1991,467827000000,98086000000,396015000000
1992,475964000000,100270000000,413688000000
1993,509680000000,117520000000,428299000000
1994,543055000000,140385000000,461475000000
1995,590244000000,157004000000,484473000000
1996,656417000000,171824000000,509414000000
1997,737466000000,182293000000,539371000000
1998,828586000000,188677000000,571831000000
1999,879480000000,184680000000,611833000000
2000,1004460000000,207289000000,652852000000
2001,994339000000,151075000000,693967000000
2002,858345000000,148044000000,700760000000
2003,793699000000,131778000000,712978000000
2004,808959000000,189371000000,733407000000
2005,927222000000,278282000000,794125000000
2006,1043910000000,353915000000,837821000000
2007,1163470000000,370243000000,869607000000
2008,1145750000000,304346000000,900155000000
2009,915308000000,138229000000,890917000000
2010,898549000000,191437000000,864814000000
2011,1091470000000,181085000000,818792000000
2012,1132210000000,242289000000,845314000000
2013,1316410000000,273506000000,947820000000
2014,1394570000000,320731000000,1023460000000
2015,1540800000000,343797000000,1065260000000
2016,1546080000000,299571000000,1115070000000
2017,1587120000000,297048000000,1161900000000
2018,1683540000000,204733000000,1170700000000
2019,1698350000000,216194000000,1242410000000
2020,1824190000000,255161000000,1295480000000
2021,1945790000000,284058000000,1369960000000
2022,2081050000000,314677000000,1446930000000
2023,2236770000000,370948000000,1523180000000
2024,2394490000000,418403000000,1606950000000
