Year,AGI Bracket,Min,Max,Number of Returns,Total AGI,Taxable Income,Number returns w income tax,Income Tax,Filing Status
2005,No adjusted gross income,0,0,138704,-3085678000,0,205,5037000,HoH
2005,"$1 under $5,000",1,5000,934807,2780006000,0,0,0,HoH
2005,"$5,000 under $10,000",5000,10000,2163219,16749585000,0,3,35000,HoH
2005,"$10,000 under $15,000",10000,15000,2868497,35838178000,333188000,69658,7963000,HoH
2005,"$15,000 under $20,000",15000,20000,2753500,48182025000,6182554000,204842,77778000,HoH
2005,"$20,000 under $25,000",20000,25000,2511099,56320111000,15720504000,255878,186683000,HoH
2005,"$25,000 under $30,000",25000,30000,2025881,55396289000,21721071000,576268,525981000,HoH
2005,"$30,000 under $40,000",30000,40000,2630136,90679073000,44423047000,1743555,2634677000,HoH
2005,"$40,000 under $50,000",40000,50000,1522170,68031472000,39055402000,1343020,3485521000,HoH
2005,"$50,000 under $75,000",50000,75000,1647339,98525651000,62185898000,1594169,7457259000,HoH
2005,"$75,000 under $100,000",75000,100000,427715,36394098000,24984814000,425511,4117170000,HoH
2005,"$100,000 under $200,000",100000,200000,285783,36586820000,26747006000,283923,5446205000,HoH
2005,"$200,000 under $500,000",200000,500000,58441,17039658000,14178527000,58181,3686185000,HoH
2005,"$500,000 under $1,000,000",500000,1000000,11880,8041790000,7008547000,11830,1833842000,HoH
2005,"$1,000,000 under $1,500,000",1000000,1500000,2165,2624272000,2364432000,2151,596794000,HoH
2005,"$1,500,000 under $2,000,000",1500000,2000000,1252,2122254000,1920941000,1241,501224000,HoH
2005,"$2,000,000 under $5,000,000",2000000,5000000,1785,5304485000,4854887000,1774,1276303000,HoH
2005,"$5,000,000 under $10,000,000",5000000,10000000,437,2986558000,2733860000,437,698117000,HoH
2005,"$10,000,000 or more",10000000,47996405,247,7162556000,6191148000,247,1486877000,HoH
2005,"Taxable returns, total",0,10000000,6572893,360494000000,233140000000,6572893,34023652000,HoH
2005,"All returns, total",0,10000000,19985059,587679000000,280606000000,6572893,34023652000,HoH
2005,No adjusted gross income,0,0,529974,-53851766000,0,2819,96906000,Married filed jointly + Surviving Spouses
2005,"$1 under $5,000",1,5000,761528,1965529000,0,344,6153000,Married filed jointly + Surviving Spouses
2005,"$5,000 under $10,000",5000,10000,1234731,9534022000,0,1058,2334000,Married filed jointly + Surviving Spouses
2005,"$10,000 under $15,000",10000,15000,1783078,22467753000,569000,670,277000,Married filed jointly + Surviving Spouses
2005,"$15,000 under $20,000",15000,20000,2410583,42294578000,846402000,557644,72305000,Married filed jointly + Surviving Spouses
2005,"$20,000 under $25,000",20000,25000,2329036,52260194000,6414291000,1063606,459194000,Married filed jointly + Surviving Spouses
2005,"$25,000 under $30,000",25000,30000,2347131,64577874000,15206879000,1083462,904281000,Married filed jointly + Surviving Spouses
2005,"$30,000 under $40,000",30000,40000,4627760,161828000000,60106916000,2831201,4103250000,Married filed jointly + Surviving Spouses
2005,"$40,000 under $50,000",40000,50000,4657041,209867000000,103398000000,3593674,8330183000,Married filed jointly + Surviving Spouses
2005,"$50,000 under $75,000",50000,75000,11384967,709179000000,429187000000,10615591,44307198000,Married filed jointly + Surviving Spouses
2005,"$75,000 under $100,000",75000,100000,8295031,716604000000,483449000000,8188997,59916323000,Married filed jointly + Surviving Spouses
2005,"$100,000 under $200,000",100000,200000,9199765,1219310000000,889028000000,9164864,154107000000,Married filed jointly + Surviving Spouses
2005,"$200,000 under $500,000",200000,500000,2323691,670621000000,556716000000,2319971,134534000000,Married filed jointly + Surviving Spouses
2005,"$500,000 under $1,000,000",500000,1000000,441070,298790000000,263867000000,440361,72161471000,Married filed jointly + Surviving Spouses
2005,"$1,000,000 under $1,500,000",1000000,1500000,106003,128440000000,115057000000,105804,31934763000,Married filed jointly + Surviving Spouses
2005,"$1,500,000 under $2,000,000",1500000,2000000,47384,81669946000,73613031000,47311,20287098000,Married filed jointly + Surviving Spouses
2005,"$2,000,000 under $5,000,000",2000000,5000000,69650,207389000000,187855000000,69515,50977917000,Married filed jointly + Surviving Spouses
2005,"$5,000,000 under $10,000,000",5000000,10000000,17416,119228000000,108135000000,17376,28347211000,Married filed jointly + Surviving Spouses
2005,"$10,000,000 or more",10000000,42675091,11000,289713000000,258827000000,10982,61119616000,Married filed jointly + Surviving Spouses
2005,"Taxable returns, total",0,10000000,40115252,4701020000000,3497650000000,40115252,671668000000,Married filed jointly + Surviving Spouses
2005,"All returns, total",0,10000000,52576840,4951880000000,3551710000000,40115252,671668000000,Married filed jointly + Surviving Spouses
2005,No adjusted gross income,0,0,63256,-4813382000,0,395,9476000,Married filed separately
2005,"$1 under $5,000",1,5000,140185,352788000,974000,2193,100000,Married filed separately
2005,"$5,000 under $10,000",5000,10000,149124,1122911000,60377000,50625,5474000,Married filed separately
2005,"$10,000 under $15,000",10000,15000,158655,1995131000,546645000,123526,51426000,Married filed separately
